word, event, baseline, diff
force,2.3228,0.2605,2.0623
sandy,1.7664,0.0012,1.7652
storm,1.6118,0.0539,1.5579
storms,1.6118,0.0539,1.5579
hurricane,1.5989,0.0009,1.5980
hurricanes,1.5989,0.0009,1.5980
new,1.4449,0.3884,1.0565
made,1.0291,1.0599,-0.0308
making,0.9775,0.9529,0.0246
make,0.9113,0.9133,-0.0020
makes,0.9113,0.9133,-0.0020
take,0.8973,0.9678,-0.0705
taken,0.8680,0.9520,-0.0840
get,0.8621,1.0420,-0.1798
york,0.7842,0.0323,0.7519
place,0.7544,0.7027,0.0516
places,0.7544,0.7027,0.0516
go,0.7069,0.8478,-0.1408
power,0.6197,0.2549,0.3648
even,0.5962,0.3804,0.2159
home,0.5927,0.4127,0.1800
see,0.5927,0.6174,-0.0246
issue,0.5675,0.4138,0.1537
land,0.5435,0.4525,0.0910
parts,0.5131,0.3604,0.1526
city,0.5101,0.0472,0.4629
found,0.5049,0.5062,-0.0013
working,0.5013,0.7540,-0.2526
jersey,0.4949,0.0029,0.4920
nj,0.4949,0.0029,0.4920
work,0.4808,0.7451,-0.2643
conditions,0.4738,0.1262,0.3476
good,0.4715,0.5616,-0.0901
point,0.4709,0.4289,0.0420
state,0.4662,0.4653,0.0009
states,0.4662,0.4653,0.0009
might,0.4662,0.1439,0.3223
october,0.4644,0.0069,0.4576
level,0.4598,0.3408,0.1190
mass,0.4598,0.3348,0.1250
study,0.4592,0.4169,0.0423
still,0.4586,0.4358,0.0228
levels,0.4510,0.3162,0.1348
national,0.4422,0.2120,0.2302
says,0.4369,0.3200,0.1169
say,0.4369,0.3200,0.1169
part,0.4363,0.3537,0.0826
worked,0.4311,0.6973,-0.2662
flooding,0.4287,0.0063,0.4224
cause,0.4153,0.4343,-0.0190
read,0.4112,0.3128,0.0984
close,0.4082,0.2846,0.1236
bring,0.4059,0.4525,-0.0466
track,0.4024,0.1920,0.2103
effects,0.3989,0.1749,0.2240
surge,0.3965,0.0082,0.3883
surges,0.3965,0.0082,0.3883
people,0.3953,0.2403,0.1551
tide,0.3936,0.0039,0.3897
tides,0.3936,0.0039,0.3897
weather,0.3877,0.0396,0.3481
heavy,0.3871,0.3253,0.0618
help,0.3848,0.2223,0.1625
services,0.3819,0.1920,0.1898
center,0.3778,0.1253,0.2525
hit,0.3760,0.2461,0.1299
areas,0.3608,0.1800,0.1808
area,0.3608,0.1800,0.1808
last,0.3608,0.4483,-0.0875
evening,0.3602,0.1959,0.1643
came,0.3590,0.3534,0.0056
come,0.3590,0.3582,0.0009
region,0.3573,0.1326,0.2247
effect,0.3573,0.1627,0.1945
years,0.3567,0.4739,-0.1172
big,0.3567,0.2908,0.0659
sea,0.3467,0.0157,0.3310
ocean,0.3467,0.0157,0.3310
result,0.3467,0.1919,0.1548
waters,0.3456,0.0601,0.2855
days,0.3432,0.3259,0.0174
near,0.3415,0.2851,0.0563
us,0.3397,0.3330,0.0067
coast,0.3350,0.0109,0.3241
turn,0.3344,0.5253,-0.1909
u.s.,0.3338,0.3266,0.0073
one,0.3315,0.5309,-0.1994
1,0.3315,0.5285,-0.1970
look,0.3303,0.4535,-0.1232
world,0.3292,0.5137,-0.1845
great,0.3286,0.2594,0.0692
set,0.3280,0.4543,-0.1263
causing,0.3256,0.2764,0.0493
service,0.3233,0.1675,0.1558
tropical,0.3198,0.0017,0.3180
large,0.3174,0.2341,0.0833
expected,0.3151,0.1966,0.1185
lines,0.3110,0.3399,-0.0289
line,0.3110,0.3399,-0.0289
support,0.3098,0.3645,-0.0547
may,0.3034,0.1686,0.1348
two,0.3022,0.2428,0.0594
2,0.3022,0.2428,0.0594
higher,0.3022,0.1072,0.1950
number,0.2964,0.3863,-0.0900
water,0.2958,0.0544,0.2414
however,0.2946,0.2471,0.0475
damaged,0.2928,0.0072,0.2856
monday,0.2911,0.0077,0.2834
event,0.2911,0.1386,0.1525
events,0.2911,0.1386,0.1525
damage,0.2905,0.0790,0.2115
island,0.2887,0.0182,0.2705
islands,0.2887,0.0182,0.2705
left,0.2882,0.2942,-0.0060
end,0.2876,0.3247,-0.0372
climate,0.2864,0.0082,0.2782
post,0.2864,0.2354,0.0510
caused,0.2864,0.2740,0.0124
terms,0.2864,0.0823,0.2041
watches,0.2864,0.1952,0.0912
moving,0.2811,0.2530,0.0281
rise,0.2753,0.1475,0.1278
times,0.2747,0.2816,-0.0069
continue,0.2741,0.1685,0.1056
authorities,0.2741,0.2494,0.0247
