word, event, baseline, diff
sandy,1.7664,0.0008,1.7656
hurricane,1.5989,0.0009,1.5980
storm,1.5158,0.0045,1.5112
new,1.4121,0.2828,1.1293
york,0.7842,0.0323,0.7519
city,0.5090,0.0463,0.4627
2012,0.4937,0.0000,0.4937
october,0.4410,0.0069,0.4341
jersey,0.4369,0.0029,0.4340
winds,0.4311,0.0029,0.4282
power,0.4270,0.0677,0.3593
people,0.3438,0.2223,0.1215
coast,0.3321,0.0073,0.3248
tropical,0.3198,0.0013,0.3184
national,0.3063,0.0902,0.2161
flooding,0.3034,0.0005,0.3029
may,0.3034,0.1685,0.1349
center,0.2981,0.0250,0.2731
water,0.2958,0.0534,0.2424
monday,0.2905,0.0074,0.2831
island,0.2887,0.0182,0.2705
retrieved,0.2864,0.0010,0.2854
weather,0.2829,0.0078,0.2751
surge,0.2829,0.0013,0.2815
climate,0.2800,0.0041,0.2758
state,0.2682,0.1253,0.1430
areas,0.2442,0.0395,0.2047
east,0.2407,0.0304,0.2103
north,0.2360,0.0273,0.2088
atlantic,0.2325,0.0075,0.2250
service,0.2296,0.0481,0.1815
damage,0.2272,0.0050,0.2222
expected,0.2249,0.0246,0.2003
high,0.2243,0.0761,0.1482
sea,0.2237,0.0117,0.2120
one,0.2185,0.4100,-0.1915
landfall,0.2126,0.0001,0.2125
2012.,0.2073,0.0000,0.2073
would,0.2015,0.3242,-0.1227
november,0.1974,0.0089,0.1884
two,0.1968,0.1698,0.0270
along,0.1956,0.0427,0.1529
still,0.1909,0.1095,0.0814
manhattan,0.1903,0.0022,0.1882
states,0.1886,0.1177,0.0709
area,0.1886,0.0390,0.1496
time,0.1845,0.2314,-0.0469
coastal,0.1821,0.0008,0.1813
residents,0.1804,0.0024,0.1780
many,0.1786,0.1548,0.0238
29,0.1786,0.0028,0.1759
hit,0.1775,0.0129,0.1646
edt,0.1763,0.0000,0.1763
feet,0.1728,0.0298,0.1429
u.s.,0.1698,0.0167,0.1532
wind,0.1675,0.0072,0.1603
emergency,0.1669,0.0092,0.1578
long,0.1622,0.1133,0.0489
disaster,0.1599,0.0060,0.1539
warnings,0.1599,0.0009,0.1590
oct.,0.1581,0.0029,0.1553
level,0.1552,0.0331,0.1221
even,0.1534,0.1430,0.0105
sunday,0.1529,0.0109,0.1420
near,0.1523,0.0233,0.1289
updated,0.1488,0.0003,0.1485
forecast,0.1470,0.0014,0.1456
pm,0.1470,0.0003,0.1467
west,0.1470,0.0280,0.1190
across,0.1458,0.0393,0.1065
change,0.1441,0.0410,0.1030
rain,0.1429,0.0077,0.1352
without,0.1423,0.0864,0.0559
homes,0.1423,0.0131,0.1293
miles,0.1423,0.0193,0.1230
superstorm,0.1394,0.0000,0.1394
central,0.1359,0.0212,0.1147
tuesday,0.1359,0.0067,0.1292
officials,0.1353,0.0093,0.1260
us,0.1341,0.1774,-0.0433
2013,0.1330,0.0001,0.1328
like,0.1306,0.1518,-0.0212
days,0.1306,0.0501,0.0805
south,0.1283,0.0316,0.0967
eastern,0.1283,0.0056,0.1227
storms,0.1271,0.0009,0.1262
years,0.1259,0.1830,-0.0571
mph,0.1236,0.0003,0.1233
ocean,0.1230,0.0040,0.1190
system,0.1224,0.0793,0.0431
heavy,0.1207,0.0147,0.1059
snow,0.1207,0.0065,0.1142
closed,0.1207,0.0118,0.1088
since,0.1201,0.0829,0.0372
flood,0.1201,0.0041,0.1160
next,0.1183,0.0701,0.0482
made,0.1177,0.1494,-0.0316
pressure,0.1166,0.0206,0.0960
share,0.1160,0.0225,0.0934
rise,0.1160,0.0159,0.1000
lower,0.1148,0.0209,0.0939
public,0.1142,0.0730,0.0412
million,0.1142,0.0627,0.0515
report,0.1136,0.0283,0.0853
much,0.1119,0.1214,-0.0095
tide,0.1107,0.0026,0.1081
including,0.1095,0.0281,0.0814
get,0.1095,0.0958,0.0138
already,0.1089,0.0476,0.0613
make,0.1084,0.1480,-0.0397
virginia,0.1084,0.0082,0.1001
united,0.1078,0.1021,0.0056
hurricanes,0.1078,0.0001,0.1077
home,0.1078,0.0855,0.0223
beach,0.1072,0.0064,0.1008
1,0.1060,0.0761,0.0299
around,0.1060,0.0679,0.0381
subway,0.1054,0.0011,0.1043
major,0.1048,0.0448,0.0600
night,0.1048,0.0455,0.0594
image,0.1048,0.0132,0.0917
gmt,0.1048,0.0000,0.1048
likely,0.1043,0.0175,0.0868
carolina,0.1031,0.0031,0.1000
bahamas,0.1031,0.0000,0.1031
local,0.1025,0.0491,0.0534
conditions,0.1019,0.0249,0.0770
2,0.1019,0.0681,0.0338
florida,0.1007,0.0029,0.0979
cuba,0.1007,0.0060,0.0948
take,0.1002,0.0896,0.0106
back,0.0996,0.1184,-0.0188
see,0.0990,0.0975,0.0015
transit,0.0990,0.0031,0.0959
response,0.0984,0.0111,0.0873
30,0.0978,0.0202,0.0776
continue,0.0966,0.0455,0.0512
least,0.0966,0.0406,0.0560
post,0.0966,0.0104,0.0862
outages,0.0961,0.0000,0.0961
category,0.0955,0.0034,0.0921
washington,0.0949,0.0286,0.0663
early,0.0937,0.0439,0.0498
caused,0.0931,0.0101,0.0830
well,0.0920,0.1285,-0.0365
due,0.0920,0.0165,0.0755
science,0.0920,0.0206,0.0714
northeast,0.0920,0.0019,0.0901
n't,0.0920,0.0000,0.0920
region,0.0920,0.0130,0.0790
force,0.0914,0.0403,0.0510
caribbean,0.0908,0.0017,0.0890
three,0.0908,0.0768,0.0139
according,0.0908,0.0147,0.0761
found,0.0890,0.0625,0.0265
week,0.0890,0.0325,0.0565
far,0.0884,0.0631,0.0254
flooded,0.0884,0.0010,0.0874
morning,0.0879,0.0226,0.0652
twitter,0.0879,0.0001,0.0878
president,0.0873,0.0838,0.0034
large,0.0873,0.0484,0.0388
another,0.0867,0.0860,0.0007
affected,0.0861,0.0050,0.0811
record,0.0861,0.0219,0.0642
first,0.0855,0.1864,-0.1009
3,0.0855,0.0442,0.0413
guard,0.0849,0.0066,0.0783
several,0.0849,0.0452,0.0398
inland,0.0849,0.0006,0.0843
river,0.0849,0.0189,0.0660
parts,0.0838,0.0148,0.0689
day,0.0838,0.0891,-0.0053
