word, event, baseline, diff
police,1.3782,0.0759,1.3023
law,1.3675,0.0733,1.2942
policing,1.3341,0.0247,1.3094
attack,1.2252,0.0934,1.1318
attacks,1.2252,0.0934,1.1318
westminster,0.8870,0.0024,0.8846
made,0.8328,1.0599,-0.2270
going,0.8315,0.8800,-0.0485
taken,0.7914,0.9520,-0.1606
get,0.7847,1.0420,-0.2573
got,0.7847,1.0420,-0.2573
london,0.7820,0.0098,0.7723
saw,0.7773,0.6586,0.1187
making,0.7646,0.9529,-0.1882
take,0.7473,0.9678,-0.2205
taking,0.7439,0.9392,-0.1953
place,0.7386,0.7027,0.0359
make,0.7172,0.9133,-0.1961
people,0.7125,0.2403,0.4722
took,0.7045,0.9110,-0.2065
go,0.6958,0.8478,-0.1520
living,0.6724,0.6389,0.0336
seen,0.6711,0.6174,0.0537
see,0.6711,0.6174,0.0537
world,0.6644,0.5137,0.1507
went,0.6544,0.7845,-0.1301
home,0.6163,0.4127,0.2036
picture,0.6029,0.2492,0.3537
best,0.5996,0.7106,-0.1111
working,0.5982,0.7540,-0.1557
men,0.5902,0.5711,0.0191
held,0.5862,0.6824,-0.0962
running,0.5561,0.6401,-0.0840
parliament,0.5434,0.0020,0.5415
lives,0.5374,0.5741,-0.0367
shot,0.5247,0.1993,0.3254
man,0.4953,0.4293,0.0660
acts,0.4926,0.3837,0.1089
found,0.4913,0.5062,-0.0149
one,0.4893,0.5309,-0.0416
work,0.4826,0.7451,-0.2625
last,0.4799,0.4483,0.0317
house,0.4779,0.2534,0.2245
houses,0.4779,0.2534,0.2245
point,0.4766,0.4289,0.0477
worked,0.4746,0.6973,-0.2227
family,0.4612,0.2564,0.2048
families,0.4612,0.2564,0.2048
given,0.4505,0.6971,-0.2466
bridge,0.4338,0.0135,0.4203
support,0.4224,0.3645,0.0579
act,0.4211,0.3775,0.0436
ran,0.4198,0.5765,-0.1568
look,0.4178,0.4535,-0.0358
born,0.4071,0.2932,0.1138
days,0.4071,0.3259,0.0812
live,0.4030,0.4249,-0.0219
number,0.4017,0.3863,0.0154
end,0.4004,0.3247,0.0756
gave,0.3977,0.6369,-0.2392
set,0.3957,0.4543,-0.0586
services,0.3944,0.1920,0.2023
scene,0.3917,0.0946,0.2971
officer,0.3897,0.0136,0.3761
officers,0.3897,0.0136,0.3761
policeman,0.3897,0.0135,0.3762
lived,0.3843,0.3996,-0.0153
show,0.3837,0.2867,0.0970
shows,0.3837,0.2867,0.0970
office,0.3830,0.3837,-0.0007
close,0.3803,0.2846,0.0957
ground,0.3790,0.2854,0.0936
human,0.3763,0.1900,0.1863
years,0.3703,0.4739,-0.1036
known,0.3670,0.2791,0.0879
order,0.3663,0.4243,-0.0580
attacker,0.3623,0.0022,0.3601
saying,0.3623,0.3429,0.0193
assailant,0.3623,0.0022,0.3601
come,0.3603,0.3582,0.0021
came,0.3589,0.3534,0.0055
read,0.3556,0.3128,0.0428
